part;var;de;en
tabs;back;Zurück;Back
tabs;results;Resultate;Results
own;choice;Eigene Auswahl;Own Choice
my;choice;Meine Auswahl;My Choice
my;choice_print;Druckansicht;Print-View
chart;my_answer;Meine Auswahl;My Choice
